,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,z,南竿鄉,福沃段220地號,1100127,600000,27854.6708,21.540373042211648,土地,其他,,0,0,0,
1,z,南竿鄉,介壽段177-20地號,1091215,2204118,13765.351200000001,160.12072398123775,土地,其他,,0,0,0,
2,z,北竿鄉,塘岐段255地號,1100504,9200000,47471.288,193.80135630615288,土地,其他,,0,0,0,
3,z,北竿鄉,白沙段106地號,1100501,1400000,32231.55,43.43570197523855,土地,其他,,0,0,0,
4,z,北竿鄉,塘岐段219地號,1100510,664200,26446.4,25.114949482727326,土地,其他,,0,0,0,
5,z,東引鄉,東引西段392地號,1100520,76009,3778.5294,20.116027150668724,土地,其他,,0,0,0,
6,z,莒光鄉,大坪段392地號,1100420,330000,6942.18,47.53550037596259,土地,其他,,0,0,0,
7,z,南竿鄉,清水段1346地號,1100308,200000,8859.544,22.57452528030788,土地,其他,,0,0,0,
8,z,南竿鄉,清水段1354地號,1100324,1222921,1553.726,787.0892293750635,土地,其他,,0,0,0,
9,z,東引鄉,東引西段676地號,1100329,199483,8419.8726,23.69192616999929,土地,其他,,0,0,0,
10,z,南竿鄉,四維段771-8地號,1091210,168000,11920.7148,14.093114617589878,土地,其他,,0,0,0,
11,z,南竿鄉,四維段771-8地號,1091210,335000,11884.351,28.18832934166956,土地,其他,,0,0,0,
12,z,南竿鄉,四維段771-8地號,1091210,179000,11914.1032,15.024210970406905,土地,其他,,0,0,0,
13,z,南竿鄉,四維段771-6地號,1091210,168000,11920.7148,14.093114617589878,土地,其他,,0,0,0,
14,z,南竿鄉,四維段771-8地號,1091210,168000,11920.7148,14.093114617589878,土地,其他,,0,0,0,
15,z,南竿鄉,四維段1184-3地號,1091210,6980,4105.8036,1.7000326075022194,土地,其他,,0,0,0,
16,z,南竿鄉,四維段1184-3地號,1091210,6980,4105.8036,1.7000326075022194,土地,其他,,0,0,0,
17,z,南竿鄉,四維段1184-3地號,1091210,13960,4105.8036,3.400065215004439,土地,其他,,0,0,0,
18,z,南竿鄉,四維段1184-3地號,1091210,7440,4105.8036,1.8120691403748586,土地,其他,,0,0,0,
19,z,南竿鄉,四維段771-8地號,1091210,168000,11920.7148,14.093114617589878,土地,其他,,0,0,0,
20,z,南竿鄉,四維段771-8地號,1091210,168000,11920.7148,14.093114617589878,土地,其他,,0,0,0,
21,z,南竿鄉,四維段1184-3地號,1091210,6980,4105.8036,1.7000326075022194,土地,其他,,0,0,0,
22,z,南竿鄉,四維段1184-3地號,1091210,6980,4105.8036,1.7000326075022194,土地,其他,,0,0,0,
23,z,南竿鄉,四維段1184-3地號,1091210,6980,4105.8036,1.7000326075022194,土地,其他,,0,0,0,
24,z,南竿鄉,四維段1184-3地號,1091210,6980,4105.8036,1.7000326075022194,土地,其他,,0,0,0,
25,z,南竿鄉,福沃段307地號,1100802,662625,18843.06,35.1654667553996,土地,其他,,0,0,0,
26,z,南竿鄉,介壽段6-1地號,1100810,48756,16859.58,2.8918869865085606,土地,其他,,0,0,0,
27,z,南竿鄉,福沃段179地號,1100809,708368,18843.06,37.59304486638582,土地,其他,,0,0,0,
28,z,北竿鄉,芹壁段37地號,1100824,824458,1900.835,433.7346481940831,土地,其他,,0,0,0,
29,z,南竿鄉,福沃段514地號,1100827,3455,2862.8228,1.2068508047371986,土地,其他,,0,0,0,
30,z,東引鄉,東引西段1243-1地號,1100713,46310,1487.6100000000001,31.1304710239915,土地,其他,,0,0,0,
31,z,北竿鄉,里段822地號,1100719,351945,18181.9,19.356887894004476,土地,其他,,0,0,0,
32,z,南竿鄉,津沙段547地號,1100720,300000,24757.1362,12.117718203610318,土地,其他,,0,0,0,
33,z,北竿鄉,橋仔段320-1地號,1100713,117150,12396.75,9.450057474741364,土地,其他,,0,0,0,
34,z,南竿鄉,連江縣南竿鄉連江縣南竿鄉清水村8鄰128之6號,1100703,4500000,184820.66640000002,24.347926493570956,房地(土地+建物),華廈,108,2,1,2,
35,z,南竿鄉,仁愛段147-11地號,1100602,24000000,60000.270000000004,399.99820000809996,土地,其他,,0,0,0,
36,z,北竿鄉,橋仔段401-1地號,1101103,194663,12396.75,15.702744670982314,土地,其他,,0,0,0,
37,z,南竿鄉,津沙段353地號,1101103,87948,13884.36,6.33432149555327,土地,其他,,0,0,0,
38,z,東引鄉,東引西段610-1地號,1101108,750000,56284.550800000005,13.325148541471524,土地,其他,,0,0,0,
39,z,東引鄉,東引東段77-2地號,1101109,563000,3173.568,177.4028475205195,土地,其他,,0,0,0,
40,z,南竿鄉,清水段598-48地號,1101122,1500000,17679.4184,84.84441999517361,土地,其他,,0,0,0,
41,z,南竿鄉,馬祖段59-2地號,1101129,30000,2733.8966,10.973348443390288,土地,其他,,0,0,0,
42,z,南竿鄉,清水段788地號,1101021,72150,8264.5,8.730110714501786,土地,其他,,0,0,0,
43,z,北竿鄉,里段157-1地號,1101029,12489,1355.378,9.214403657134763,土地,其他,,0,0,0,
44,z,南竿鄉,介壽段1181-3地號,1101027,2344121,14347.172,163.38557870498798,土地,其他,,0,0,0,
45,z,南竿鄉,介壽段1181-2地號,1101027,2344121,14347.172,163.38557870498798,土地,其他,,0,0,0,
46,z,南竿鄉,津沙段355地號,1100903,1900000,45031.6076,42.19258652449263,土地,其他,,0,0,0,
47,z,南竿鄉,清水段234地號,1110302,1834303,13791.7976,132.99955910025827,土地,其他,,0,0,0,
48,z,北竿鄉,后沃段142地號,1110209,700000,57124.224,12.253995782944902,土地,其他,,0,0,0,
49,z,北竿鄉,連江縣北竿鄉連江縣北竿鄉塘岐村139號,1110110,1000000,66116.0,15.12493193780628,房地(土地+建物),透天厝,,0,0,0,
50,z,北竿鄉,塘岐段188-2地號,1110120,767817,9342.1908,82.18810945287052,土地,其他,,0,0,0,
51,z,莒光鄉,福正段875地號,1101210,68585,1289.262,53.19710035663814,土地,其他,,0,0,0,
52,z,南竿鄉,介壽段974地號,1101222,1796944,25124.08,71.52277814749833,土地,其他,,0,0,0,
53,z,北竿鄉,橋仔段210-1地號,1101223,570113,12396.75,45.98890838324561,土地,其他,,0,0,0,
54,z,南竿鄉,介壽段1614地號,1101227,266076,25124.08,10.590477342851957,土地,其他,,0,0,0,
55,z,北竿鄉,白沙段37地號,1101214,920000,30671.2124,29.99555374602668,土地,其他,,0,0,0,
56,z,南竿鄉,津沙段493地號,1101202,18914,13894.2774,1.361279860440961,土地,其他,,0,0,0,
57,z,北竿鄉,白沙段69地號,1101111,5000000,74618.5176,67.00749573722435,土地,其他,,0,0,0,
58,z,南竿鄉,福沃段249-15地號,1110510,334530,24575.3172,13.612438744025651,土地,其他,,0,0,0,
59,z,南竿鄉,福沃段249-16地號,1110526,144300,36694.38,3.9324823038296333,土地,其他,,0,0,0,
60,z,南竿鄉,介壽段1881地號,1110414,592800,25124.08,23.594893822977795,土地,其他,,0,0,0,
61,z,東引鄉,東引西段529地號,1110426,139121,11775.2596,11.814686446488196,土地,其他,,0,0,0,
62,z,南竿鄉,仁愛段449地號,1110321,999000,14856.2652,67.24435694645516,土地,其他,,0,0,0,
63,z,南竿鄉,仁愛段755地號,1110321,291915,14876.1,19.623086696109866,土地,其他,,0,0,0,
64,z,南竿鄉,介壽段33地號,1110316,3955958,23930.6862,165.3090081470376,土地,其他,,0,0,0,
65,z,南竿鄉,介壽段34地號,1110316,991652,24324.0764,40.76833108450523,土地,其他,,0,0,0,
66,z,南竿鄉,介壽段850地號,1110329,30000,16257.9244,1.8452539981056868,土地,其他,,0,0,0,
67,z,北竿鄉,里段772地號,1110331,4300000,10674.4282,402.83188189883555,土地,其他,,0,0,0,
68,z,南竿鄉,四維段292-3地號,1110330,700000,15038.084200000001,46.54848255205274,土地,其他,,0,0,0,
69,z,東引鄉,東引西段851地號,1110310,250000,1517.3622,164.75960716564575,土地,其他,,0,0,0,
70,z,南竿鄉,四維段197地號,1110317,2000000,9676.0766,206.69534592150706,土地,其他,,0,0,0,
71,z,北竿鄉,橋仔段177地號,1110801,1200000,41560.5176,28.873557628647053,土地,其他,,0,0,0,
72,z,北竿鄉,里段584地號,1110704,3000000,75130.9166,39.930299479402336,土地,其他,,0,0,0,
73,z,東引鄉,東引西段677-1地號,1110722,20000,31785.267,0.6292223375062415,土地,其他,,0,0,0,
74,z,東引鄉,東引西段677-1地號,1110722,20000,31785.267,0.6292223375062415,土地,其他,,0,0,0,
75,z,北竿鄉,塘岐段61地號,1110720,1290000,5976.8864,215.83144026294357,土地,其他,,0,0,0,
76,z,南竿鄉,介壽段145-1地號,1110726,8000,5543.8266,1.44304657725045,土地,其他,,0,0,0,
77,z,東引鄉,東引西段425地號,1110726,3000000,262364.817,11.434459979441527,土地,其他,,0,0,0,
78,z,北竿鄉,午沙段68地號,1110621,1075370,14373.618400000001,74.81553844507239,土地,其他,,0,0,0,
79,z,南竿鄉,清水段912地號,1110610,200000,8056.2346,24.82549353763854,土地,其他,,0,0,0,
80,z,南竿鄉,清水段365地號,1110524,2500000,29127.4038,85.82982600048962,土地,其他,,0,0,0,
81,z,北竿鄉,橋仔段126地號,1110309,3900000,96704.5674,40.329015524865476,土地,其他,,0,0,0,
82,z,南竿鄉,仁愛段469地號,1111122,1050000,49937.4148,21.026318727256182,土地,其他,,0,0,0,
83,z,南竿鄉,珠螺段278-1地號,1111128,229500,3001.6664,76.45753039045245,土地,其他,,0,0,0,
84,z,莒光鄉,大坪段233地號,1111129,160000,6112.4242,26.17619372686863,土地,其他,,0,0,0,
85,z,南竿鄉,珠螺段265地號,1111129,396631,5619.86,70.57666916969463,土地,其他,,0,0,0,
86,z,南竿鄉,仁愛段465地號,1111003,2000000,49034.9314,40.787249882845764,土地,其他,,0,0,0,
87,z,南竿鄉,津沙段605地號,1111003,1000000,20347.199,49.14681377028848,土地,其他,,0,0,0,
88,z,南竿鄉,復興段630地號,1110908,300000,7047.9656,42.56547449664056,土地,其他,,0,0,0,
89,z,南竿鄉,福沃段22-2地號,1110822,1422432,10909.14,130.38901324944038,土地,其他,,0,0,0,
90,z,南竿鄉,介壽段37-1地號,1120307,139121,30991.875,4.4889507330550344,土地,其他,,0,0,0,
91,z,莒光鄉,田沃段396-1地號,1120208,36000,4426.4662,8.132898428095983,土地,其他,,0,0,0,
92,z,莒光鄉,田沃段396地號,1120220,24000,4753.7404,5.048656001493057,土地,其他,,0,0,0,
93,z,南竿鄉,福沃段348地號,1120223,1200000,53666.3572,22.360377387418424,土地,其他,,0,0,0,
94,z,南竿鄉,四維段788-6地號,1120107,189315,3180.1796,59.52965675271925,土地,其他,,0,0,0,
95,z,南竿鄉,復興段493地號,1120108,2580000,47914.2652,53.84617690015207,土地,其他,,0,0,0,
96,z,莒光鄉,田沃段352地號,1111212,600000,45934.091,13.062193828979874,土地,其他,,0,0,0,
97,z,北竿鄉,后沃段185地號,1111216,487000,24998.459600000002,19.48120035364099,土地,其他,,0,0,0,
98,z,莒光鄉,田沃段352地號,1111227,600000,45934.091,13.062193828979874,土地,其他,,0,0,0,
99,z,北竿鄉,里段4地號,1111220,2100000,47990.2986,43.75884420940027,土地,其他,,0,0,0,
100,z,北竿鄉,芹壁段333-6地號,1111202,1800000,43831.6022,41.066260635117736,土地,其他,,0,0,0,
101,z,北竿鄉,芹壁段309-3地號,1111202,1300000,38211.7422,34.02095599818006,土地,其他,,0,0,0,
102,z,南竿鄉,介壽段1941-3地號,1120509,100000,495.87,201.6657591707504,土地,其他,,0,0,0,
103,z,南竿鄉,福沃段169地號,1120427,350000,25173.667,13.90341740835771,土地,其他,,0,0,0,
104,z,南竿鄉,仁愛段488地號,1120320,346040,27107.56,12.7654425555085,土地,其他,,0,0,0,
105,z,南竿鄉,福沃段547-23地號,1120315,347855,42876.226,8.113004162259989,土地,其他,,0,0,0,
106,z,南竿鄉,連江縣南竿鄉連江縣南竿鄉介壽村1之3號,1091109,4429700,132582.4148,33.410916573530386,建物,華廈,111,3,1,3,
107,z,南竿鄉,介壽段37地號,1091109,1250000,102030.2112,12.251273277772064,土地,其他,,0,0,0,
108,z,南竿鄉,介壽段37地號,1091109,1250000,102030.2112,12.251273277772064,土地,其他,,0,0,0,
109,z,南竿鄉,連江縣南竿鄉連江縣南竿鄉介壽村1之3號2樓,1091109,4594800,125792.3016,36.52687757165578,建物,華廈,111,3,1,3,
110,z,南竿鄉,介壽段37地號,1090219,1250000,102030.2112,12.251273277772064,土地,其他,,0,0,0,
111,z,南竿鄉,連江縣南竿鄉連江縣南竿鄉介壽村1之3號4樓,1090219,4594800,125792.3016,36.52687757165578,建物,華廈,111,3,1,3,
112,z,南竿鄉,連江縣南竿鄉連江縣南竿鄉介壽村1之3號5樓,1090219,4777450,130793.977,36.52652904651718,建物,華廈,111,3,1,3,
113,z,南竿鄉,介壽段37地號,1090219,1250000,102030.2112,12.251273277772064,土地,其他,,0,0,0,
